# Rime table
# coding: utf-8
#@/db_name	hiragana.txt
#@/db_type	tabledb


あ	Ha
っうぇ	Hwwe
っうぉ	Hwwo
っくぁ	Hkkwa
っくぁ	Hqqwa
っくぃ	Hkkwi
っくぃ	Hqqwi
っくぅ	Hkkwu
っくぅ	Hqqwu
っくぇ	Hkkwe
っくぇ	Hqqwe
っくぉ	Hkkwo
っくぉ	Hqqwo
っぐぁ	Hggwa
っぐぃ	Hggwi
っぐぅ	Hggwu
っぐぇ	Hggwe
っぐぉ	Hggwo
っしぇ	Hsshe
っじぇ	Hjje
っちぇ	Hcche
っつぁ	Httsa
っつぃ	Httsi
っつぇ	Httse
っつぉ	Httso
っとぅ	Httu
っどぅ	Hddu
っふぁ	Hffa
っふぃ	Hffi
っふぇ	Hffe
っふぉ	Hffo
っふゅ	Hffyu
っふょ	Hffyo
っふゃ	Hffya
っいぇ	Hyye
っゔぁ	Hvva
っゔぃ	Hvvi
っゔぅ	Hvvu
っゔぇ	Hvve
っゔぉ	Hvvo
ってゃ    Httha
ってぃ    Htthi
ってゅ    Htthu
ってぇ    Htthe
ってょ    Httho
っでゃ    Hddha
っでぃ    Hddhi
っでゅ    Hddhu
っでぇ    Hddhe
っでょ    Hddho
